pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
node:X:child:Number=Sing,796,418,yes,0.028999999999999998,0.09762239379428728,59.9713055954089,52.51256281407035
node:X:parent:position=after,8208,129,no,0.022000000000000006,-0.04820172566552594,66.85146876292926,98.42836257309942
node:X:child:rel_shallow=obj,409,315,yes,0.019000000000000003,0.025588298723287828,45.19368723098996,77.01711491442543
node:X:child:rel_shallow=obl:arg,657,321,yes,0.018000000000000002,0.1676559193013789,46.0545193687231,48.858447488584474
node:X:next:Number=Sing,4732,11,no,0.009000000000000008,-0.024781269853586085,39.06495655771618,99.76754015215553
node:X:own:ExtPos=PRON,395,50,yes,0.006000000000000005,-0.12661038564020333,7.173601147776183,12.658227848101266
node:X:prev:Person=3,4243,54,no,0.006000000000000005,-0.07316716221572839,34.66280513032685,98.72731557860006
node:X:prev:VerbForm=Fin,4014,55,no,0.0040000000000000036,-0.11413639533539555,32.75961936284651,98.6297957149975
node:X:child:rel_shallow=punct,648,156,yes,0.0030000000000000027,0.1396752538486068,22.381635581061694,24.074074074074073
node:X:parent:Tense=Past,2685,227,yes,0.0020000000000000018,0.0703887317875791,32.568149210903876,8.45437616387337
node:X:prev:Tense=Pres,3439,51,no,0.0020000000000000018,-0.015422976334709904,28.034753827058335,98.51701075894155
node:X:own:Polarity=Neg,3214,0,no,0.001,-0.4470192616570583,26.59495242035581,100.0
node:X:parent:position=before,4574,568,yes,0.001,0.027203224501340773,81.49210903873745,12.418014866637517
node:X:parent:SpaceAfter=No,1794,19,no,0.001,-0.03499439843716823,14.687629292511378,98.94091415830546
node:X:parent:VerbForm=Part,2700,226,yes,0.001,0.14010332243384846,32.42467718794835,8.37037037037037
node:X:next:Number=Plur,1671,4,no,0.001,-0.16379750217664257,13.793959453868432,99.7606223818073
node:X:next:Gender=Masc,2691,3,no,0.001,-0.34819042906993714,22.242449317335538,99.88851727982163
node:X:child:Number=Plur,492,170,yes,0.001,0.17106874820162862,24.390243902439025,34.552845528455286
