row_idx,lexunit,primary_cluster,clusters_above_threshold
0,"('$', 'NOUN')",3,"[(3, 0.1669056974130236), (11, 0.11803147016925791), (12, 0.11218303330049771)]"
1,"('%', 'NOUN')",3,"[(3, 0.17903563094401834), (10, 0.1017565259770413), (11, 0.13214732865489298)]"
4,"('/', 'CCONJ')",2,"[(2, 0.2183680252215481), (7, 0.11548572363889556)]"
6,"('1', 'NUM')",1,"[(1, 0.14948302847384698), (2, 0.1250624659776453), (3, 0.12277284695424591), (9, 0.1049008518831388)]"
7,"('10', 'NUM')",3,"[(3, 0.17523164450613712), (9, 0.1378081564647242), (11, 0.11463116864006456)]"
9,"('11', 'NUM')",9,"[(3, 0.1632407145955165), (6, 0.1332776067119511), (9, 0.31773696810215396), (11, 0.12269220606468932)]"
10,"('12', 'NUM')",9,"[(3, 0.16770697305704085), (6, 0.10365827839462947), (9, 0.17347166462661123), (11, 0.11709772728375868)]"
11,"('13', 'NUM')",9,"[(3, 0.19281732518946734), (6, 0.11744559129118234), (9, 0.24440544912123577), (11, 0.12496387609825224)]"
12,"('14', 'NUM')",9,"[(3, 0.1871672051577224), (6, 0.10948054396727754), (9, 0.21145595663873432), (11, 0.12014902412355709)]"
13,"('15', 'NUM')",3,"[(3, 0.16656771002748796), (9, 0.16316623887812112), (11, 0.11512554107031409)]"
15,"('16', 'NUM')",9,"[(3, 0.1727906162550532), (6, 0.11737674566017878), (9, 0.22852163612142537), (11, 0.11942504160199681)]"
16,"('17', 'NUM')",9,"[(3, 0.16212710433741276), (6, 0.1264976924444878), (9, 0.27888245355692864), (11, 0.11774232928773554)]"
17,"('18', 'NUM')",9,"[(3, 0.17390843360013764), (6, 0.1251646623678438), (9, 0.2774599121814281), (11, 0.12271214500221246)]"
19,"('19', 'NUM')",9,"[(3, 0.16172750366566324), (6, 0.13016295696168406), (9, 0.27933237128656235), (11, 0.1212892687574937)]"
20,"('1905', 'NUM')",12,"[(5, 0.15303302724595194), (12, 0.4958894716084214)]"
34,"('1934', 'NUM')",12,"[(5, 0.1247166833105499), (12, 0.6122849758083491)]"
35,"('1935', 'NUM')",12,"[(5, 0.14348780020863014), (12, 0.5883739351599232)]"
73,"('1974', 'NUM')",12,"[(5, 0.14083680541088256), (12, 0.6846286430693581)]"
91,"('1992', 'NUM')",12,"[(5, 0.16887022938182947), (12, 0.5784328148087737)]"
99,"('1er', 'ADJ')",2,"[(1, 0.11586143840000462), (2, 0.34802405585951024), (9, 0.11871943668644652)]"
100,"('1er', 'NUM')",9,"[(3, 0.13269644060042515), (6, 0.14869910465222558), (9, 0.348374293756118), (11, 0.11042926534353265)]"
101,"('2', 'NUM')",4,"[(3, 0.13321369240295627), (4, 0.1800848503215467)]"
