row_idx,lexunit,primary_cluster,clusters_above_threshold,entropy,one_minus_max,top2_ratio
184,"('C', 'NOUN')",7,"[(2, 0.11372084840776145), (5, 0.11298435954842172), (7, 0.1281890193485924), (8, 0.10330703053430354), (9, 0.10424092434626148)]",0.7624596520052292,0.8718109806514076,1.1272253165835817
1240,"('etc.', 'X')",4,"[(2, 0.11612700800675543), (4, 0.1314873273930657), (5, 0.11731993351262168), (6, 0.1109883632117367)]",0.7301372692359072,0.8685126726069343,1.120758625207709
1245,"('eux-mêmes', 'PRON')",7,"[(3, 0.12745185143162305), (5, 0.12886267978921448), (6, 0.12334288595081629), (7, 0.1315229528901473)]",0.7585171279646065,0.8684770471098527,1.020644247855813
1653,"('lui-même', 'PRON')",5,"[(3, 0.1415662386136584), (5, 0.15048614168084065), (7, 0.14083101662583367), (8, 0.11390070183743604)]",0.7828502368767185,0.8495138583191594,1.0630086887561172
2790,"('vis-à-vis', 'ADV')",5,"[(3, 0.11021645631684195), (4, 0.10767953662491972), (5, 0.15102056752099566), (7, 0.11180173056044701), (8, 0.1165326620664652), (9, 0.10518671903455772)]",0.8376433901294512,0.8489794324790043,1.2959505501973347
1611,"('lequel', 'PRON')",3,"[(2, 0.14528886411168004), (3, 0.15458798643613852), (7, 0.12723200609465182), (8, 0.11918677600004228)]",0.7824592352038857,0.8454120135638614,1.064004370750056
1,"('%', 'NOUN')",5,"[(5, 0.15485693440929038), (6, 0.12962667559768176), (7, 0.14714014656720215), (8, 0.13307938836536654)]",0.7964094846195534,0.8451430655907096,1.0524451553306275
686,"('ce', 'PRON')",5,"[(0, 0.11687408342595933), (3, 0.13313670192806124), (5, 0.15524674805098684), (7, 0.1432831287310211)]",0.7840444902051176,0.8447532519490132,1.0834963573584753
1433,"('h', 'NOUN')",8,"[(2, 0.1254368447361985), (5, 0.12922192864970308), (6, 0.1244993152698272), (7, 0.1356445479738665), (8, 0.15810543628662163)]",0.8368204687436253,0.8418945637133783,1.1655863700255944
1435,"('ha', 'NOUN')",7,"[(2, 0.12478738919588887), (5, 0.12432415499967232), (6, 0.1457735349193435), (7, 0.1592268884739611), (8, 0.10833611006732732)]",0.8282157847309537,0.8407731115260388,1.0922894101598164
0,"('$', 'NOUN')",6,"[(2, 0.128206817996798), (4, 0.10031839479628517), (5, 0.1459770486041032), (6, 0.16058179516475574), (7, 0.13425617271726506), (8, 0.11890324043113745)]",0.888182641267946,0.8394182048352443,1.100048238406719
459,"('août', 'NOUN')",7,"[(2, 0.13076070819422556), (5, 0.10575582416697164), (7, 0.16069731988706784), (8, 0.10966369095784693)]",0.750054983304327,0.8393026801129322,1.2289419513419575
1387,"('février', 'NOUN')",7,"[(2, 0.12304346437140867), (5, 0.10871108428210687), (7, 0.16195570080275545), (8, 0.11078742185456913)]",0.7484823721686955,0.8380442991972445,1.3162478936214732
1159,"('efficace', 'ADJ')",9,"[(0, 0.11991111931199482), (5, 0.14442464839479166), (7, 0.1339317998904895), (8, 0.1306668991161384), (9, 0.16235124448306973)]",0.8475799368929184,0.8376487555169303,1.1241242148589128
1670,"('mai', 'NOUN')",7,"[(2, 0.1282677667130936), (5, 0.10734116988774224), (7, 0.16258020708417847), (8, 0.11187225114440594)]",0.7526240003916674,0.8374197929158216,1.2675063365516777
782,"('cm', 'NOUN')",7,"[(2, 0.14013166837873878), (5, 0.12349132444143464), (6, 0.14363528664741698), (7, 0.16326984484204343), (8, 0.10671872667983696)]",0.8369929828046273,0.8367301551579566,1.1366973161882121
576,"('avril', 'NOUN')",7,"[(2, 0.12745260276510165), (5, 0.10756483506624977), (7, 0.16375935258028165), (8, 0.11091060233784515)]",0.7520638739022313,0.8362406474197184,1.2848647185502697
1096,"('décembre', 'NOUN')",7,"[(2, 0.13452568761310307), (5, 0.10558032215539954), (7, 0.16475415917164257), (8, 0.10996076121101588)]",0.7553137515658468,0.8352458408283574,1.22470408510735
1560,"('janvier', 'NOUN')",7,"[(2, 0.12164758528510752), (5, 0.10934510594700862), (7, 0.16502249231002228), (8, 0.11272538594010645)]",0.7513897974749522,0.8349775076899777,1.3565620059227337
1583,"('juillet', 'NOUN')",7,"[(2, 0.13141677579517308), (5, 0.10726143609318804), (7, 0.16535667929257533), (8, 0.11145866850502226)]",0.7561815990957627,0.8346433207074246,1.258261574993296
1854,"('novembre', 'NOUN')",7,"[(2, 0.1301076494170574), (5, 0.10714663392280216), (7, 0.1659975246831742), (8, 0.11004044387237283)]",0.7542433096627793,0.8340024753168258,1.2758475418387778
1590,"('kg', 'NOUN')",6,"[(2, 0.16024655035170474), (6, 0.16632685608097955), (7, 0.15507698906091869), (8, 0.10186948827061233)]",0.803212753298724,0.8336731439190205,1.0379434422515177
1004,"('di', 'ADP')",1,"[(0, 0.10552861112644375), (1, 0.1666278695602615), (3, 0.11221282167385593), (4, 0.11516622776530117)]",0.7431850294969169,0.8333721304397386,1.446846638928165
2833,"('°', 'NOUN')",7,"[(2, 0.10302563320997635), (5, 0.1541014845900694), (7, 0.1673727699991928), (8, 0.13671652511542345)]",0.788847773777133,0.8326272300008072,1.0861204254094423
1705,"('mars', 'NOUN')",7,"[(2, 0.1242519125096211), (5, 0.11099436689820197), (7, 0.16903393507554565), (8, 0.11480181530143029)]",0.7589260163473052,0.8309660649244544,1.3604131450488295
1584,"('juin', 'NOUN')",7,"[(2, 0.1305338452717442), (5, 0.10890830006508896), (7, 0.16904954504659908), (8, 0.1134029930970876)]",0.7607421331470069,0.8309504549534009,1.2950629370848092
1881,"('octobre', 'NOUN')",7,"[(2, 0.12584331821782477), (5, 0.11047348458514947), (7, 0.16995891602855404), (8, 0.11409802279384092)]",0.7596378983230427,0.8300410839714459,1.3505597153308424
1434,"('h', 'NUM')",6,"[(2, 0.13380990233515117), (4, 0.1006700150617929), (5, 0.11070080451402431), (6, 0.17203131797182908), (7, 0.1328389244502895), (8, 0.11911976126752738)]",0.8752802350300614,0.8279686820281709,1.2856396647009385
702,"('certain', 'PRON')",3,"[(3, 0.17255129156476415), (5, 0.16015529981666818), (7, 0.1430780215681999), (8, 0.11245023147008987)]",0.8082356606912822,0.8274487084352359,1.0773998223117551
2472,"('septembre', 'NOUN')",7,"[(2, 0.14209256592573138), (5, 0.10673664773866368), (7, 0.17603612441633915), (8, 0.11245839895026477)]",0.7701111815651173,0.8239638755836609,1.2388834227143826
